Timestamp (ms),TP9 (left ear),AF7 (left forehead),AF8 (right forehead),TP10 (right ear)
5,-0.48828125,0,-0.48828125,-0.48828125
7,0,-0.48828125,-0.48828125,0
10,4.8828125,-0.48828125,2.44140625,3.90625
14,-12.20703125,0,-6.34765625,-9.27734375
16,71.2890625,-1.46484375,32.71484375,53.22265625
19,166.50390625,-1.46484375,90.8203125,140.13671875
23,173.828125,6.34765625,94.23828125,143.06640625
26,233.88671875,19.04296875,99.12109375,154.296875
31,263.18359375,24.90234375,102.05078125,158.203125
35,221.6796875,19.53125,105.95703125,135.7421875
39,180.17578125,18.06640625,113.28125,126.953125
43,192.87109375,22.4609375,113.28125,155.76171875
47,235.3515625,17.08984375,108.88671875,171.875
51,273.92578125,13.18359375,106.4453125,158.69140625
55,261.71875,19.53125,108.88671875,134.27734375
60,211.9140625,26.85546875,113.28125,128.90625
62,206.54296875,25.87890625,109.86328125,157.2265625
67,264.16015625,29.78515625,111.81640625,178.7109375
71,307.12890625,37.109375,115.234375,173.828125
74,282.2265625,35.15625,105.95703125,156.73828125
79,221.19140625,26.85546875,93.75,126.46484375
83,209.9609375,23.92578125,92.28515625,125.48828125
87,259.27734375,31.73828125,90.33203125,149.90234375
91,300.29296875,36.1328125,82.03125,159.1796875
95,281.25,33.203125,75.68359375,141.11328125
99,231.4453125,25.87890625,68.84765625,119.62890625
104,228.515625,31.73828125,70.3125,144.04296875
107,269.53125,35.64453125,71.2890625,157.71484375
111,312.98828125,27.83203125,63.96484375,144.04296875
114,301.26953125,28.3203125,59.08203125,134.27734375
118,246.09375,32.2265625,56.15234375,115.234375
123,231.93359375,32.2265625,59.08203125,125.9765625
128,265.625,32.2265625,60.05859375,142.08984375
131,300.29296875,26.85546875,60.05859375,145.5078125
135,307.6171875,25.390625,69.3359375,156.25
139,262.20703125,28.80859375,73.73046875,143.06640625
143,230.46875,22.94921875,79.1015625,135.7421875
147,269.04296875,19.04296875,92.28515625,160.15625
151,316.40625,20.01953125,94.7265625,164.55078125
